Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,JEE_Score,University
8177,335.0,107.0,3.0,3.0,3.2,8.42,0,0.752,304,SRM
8178,334.0,115.0,3.0,3.2,1.4,9.06,1,0.809,324,IIT
8179,325.0,101.0,3.0,4.2,1.8,7.99,0,0.632,311,SRM
8180,314.0,106.0,2.0,3.2,4.2,8.38,0,0.676,355,NIT
8181,280.0,112.0,5.0,2.0,2.1,8.93,0,0.677,300,Symbiosis
8182,320.0,109.0,3.0,3.3,4.8,9.39,1,0.863,284,Manipal
8183,316.0,101.0,2.0,3.6,4.0,8.3,1,0.753,317,NIT
8184,318.0,114.0,2.0,4.3,2.5,7.97,1,0.822,334,BITS Pilani
8185,317.0,108.0,3.0,3.7,3.0,8.76,1,0.809,313,NIT
8186,301.0,119.0,3.0,3.9,2.0,9.11,1,0.866,279,Manipal
8187,323.0,106.0,2.0,2.8,3.1,9.04,1,0.785,360,IIT
8188,324.0,114.0,3.0,2.6,2.5,8.62,1,0.791,297,NIT
8189,324.0,105.0,2.0,3.7,1.9,9.12,1,0.811,344,IIT
8190,327.0,106.0,4.0,5.0,4.0,7.92,1,0.872,326,BITS Pilani
8191,323.0,110.0,4.0,4.7,1.9,8.28,1,0.817,334,BITS Pilani
8192,312.0,97.0,3.0,4.5,2.6,7.28,0,0.688,345,SRM
8193,316.0,95.0,5.0,3.9,4.4,8.34,1,0.818,329,BITS Pilani
8194,318.0,103.0,2.0,3.2,2.1,8.65,1,0.808,302,Manipal
8195,318.0,99.0,3.0,4.6,1.9,7.11,0,0.594,335,SRM
8196,328.0,93.0,5.0,4.6,4.4,7.57,0,0.751,301,Symbiosis
8197,324.0,112.0,4.0,3.2,5.0,7.88,1,0.87,309,NIT
8198,340.0,102.0,2.0,2.6,3.2,6.77,0,0.657,286,Symbiosis
8199,340.0,105.0,4.0,3.3,3.4,8.21,1,0.835,299,Manipal
8200,317.0,108.0,4.0,3.6,4.3,8.15,0,0.699,314,SRM
8201,273.0,110.0,1.0,2.6,4.0,8.73,0,0.743,289,Symbiosis
8202,330.0,109.0,3.0,2.5,4.1,8.99,1,0.83,283,Manipal
8203,310.0,108.0,5.0,3.2,5.0,8.45,0,0.759,320,SRM
8204,307.0,110.0,2.0,2.7,3.4,8.57,1,0.812,290,Manipal
8205,312.0,104.0,5.0,3.4,3.9,8.66,0,0.764,342,NIT
8206,311.0,103.0,2.0,5.0,2.0,8.32,0,0.636,291,Symbiosis
8207,323.0,93.0,3.0,4.6,1.9,8.05,1,0.784,285,SRM
8208,299.0,111.0,3.0,5.0,3.3,8.67,1,0.808,304,NIT
8209,304.0,103.0,2.0,1.6,3.7,8.46,0,0.652,285,Symbiosis
8210,320.0,119.0,1.0,5.0,2.5,9.11,1,0.862,355,IIT
8211,324.0,112.0,4.0,3.0,4.6,8.72,0,0.765,318,Manipal
8212,324.0,113.0,2.0,3.9,3.4,8.61,0,0.707,318,Manipal
8213,308.0,111.0,5.0,5.0,3.0,7.88,1,0.859,325,NIT
8214,305.0,110.0,3.0,3.5,3.1,8.31,0,0.702,284,Symbiosis
8215,311.0,110.0,3.0,1.9,3.7,8.25,1,0.829,268,Symbiosis
8216,319.0,111.0,4.0,1.6,3.4,8.17,0,0.696,333,Manipal
8217,333.0,108.0,2.0,3.4,3.7,8.96,0,0.777,307,SRM
8218,293.0,103.0,3.0,2.2,5.0,8.72,1,0.759,279,SRM
8219,314.0,100.0,1.0,3.1,4.1,8.24,0,0.658,325,SRM
8220,301.0,110.0,4.0,3.5,2.3,8.53,1,0.805,315,NIT
8221,298.0,115.0,1.0,3.8,4.6,8.04,1,0.845,268,Symbiosis
8222,327.0,106.0,4.0,3.2,2.7,8.92,0,0.695,305,SRM
8223,323.0,108.0,3.0,4.8,3.5,9.38,0,0.783,306,SRM
8224,322.0,99.0,2.0,3.3,3.0,8.16,0,0.689,360,NIT
8225,327.0,104.0,3.0,3.5,4.4,8.58,1,0.826,344,IIT
8226,311.0,100.0,4.0,3.2,5.0,8.04,0,0.749,303,Symbiosis
8227,312.0,100.0,4.0,3.6,2.3,8.26,0,0.677,326,SRM
8228,340.0,108.0,3.0,3.8,3.5,8.93,1,0.887,293,NIT
8229,314.0,107.0,2.0,3.7,3.0,9.5,1,0.824,301,NIT
8230,325.0,112.0,2.0,2.9,4.5,8.07,1,0.881,323,BITS Pilani
8231,317.0,112.0,1.0,4.3,2.9,9.0,1,0.828,326,IIT
8232,296.0,102.0,5.0,1.1,4.2,7.92,0,0.63,297,Symbiosis
8233,293.0,95.0,3.0,2.9,4.6,8.77,1,0.782,309,Manipal
8234,310.0,101.0,5.0,4.7,3.0,8.12,0,0.648,310,Symbiosis
8235,328.0,103.0,4.0,4.5,3.9,7.6,1,0.814,308,Manipal
8236,325.0,111.0,4.0,3.3,5.0,8.22,0,0.725,311,SRM
8237,327.0,111.0,3.0,2.3,3.0,7.75,0,0.687,311,SRM
8238,305.0,107.0,3.0,2.7,3.0,9.07,1,0.781,316,BITS Pilani
8239,335.0,112.0,2.0,2.8,3.8,8.39,0,0.779,339,NIT
8240,306.0,120.0,4.0,2.2,3.5,8.99,1,0.797,324,IIT
8241,319.0,106.0,3.0,4.1,2.8,8.51,1,0.809,288,Manipal
8242,316.0,106.0,4.0,3.4,4.0,9.02,1,0.825,292,Manipal
8243,315.0,102.0,3.0,4.8,4.0,8.18,0,0.733,318,SRM
8244,332.0,109.0,4.0,2.1,2.3,8.45,1,0.755,353,IIT
8245,309.0,114.0,3.0,2.4,3.6,10.0,0,0.724,322,NIT
8246,301.0,104.0,2.0,4.1,1.6,8.71,1,0.763,297,Manipal
8247,317.0,105.0,5.0,5.0,3.7,8.27,1,0.825,322,NIT
8248,312.0,104.0,4.0,2.2,5.0,7.78,1,0.744,275,Symbiosis
8249,340.0,100.0,3.0,3.5,2.1,8.26,0,0.734,360,BITS Pilani
8250,324.0,108.0,1.0,2.6,4.2,8.74,0,0.699,330,Manipal
8251,312.0,108.0,3.0,1.8,3.1,8.78,0,0.645,294,Symbiosis
8252,305.0,107.0,1.0,2.6,3.7,8.59,1,0.801,301,Manipal
8253,295.0,118.0,2.0,2.8,3.2,9.29,0,0.683,288,Symbiosis
8254,305.0,110.0,3.0,3.4,3.6,8.72,1,0.838,344,IIT
8255,318.0,100.0,4.0,1.8,3.9,8.39,0,0.659,309,SRM
8256,333.0,111.0,3.0,3.7,2.9,9.19,1,0.844,339,IIT
8257,329.0,105.0,2.0,3.9,3.1,8.21,1,0.797,334,BITS Pilani
8258,319.0,105.0,4.0,3.0,4.1,9.26,1,0.817,301,NIT
8259,313.0,106.0,2.0,5.0,4.3,9.07,1,0.853,325,BITS Pilani
8260,320.0,105.0,1.0,4.7,3.3,8.98,1,0.809,320,BITS Pilani
8261,311.0,109.0,4.0,5.0,5.0,8.3,0,0.794,269,Symbiosis
8262,336.0,120.0,3.0,2.8,5.0,8.4,0,0.815,330,NIT
8263,314.0,105.0,4.0,4.0,4.1,8.17,0,0.706,315,SRM
8264,315.0,108.0,2.0,3.5,4.4,8.2,0,0.739,321,SRM
8265,291.0,109.0,2.0,3.0,3.6,9.29,0,0.665,306,SRM
8266,314.0,104.0,2.0,3.5,3.2,9.02,0,0.703,321,Manipal
8267,326.0,105.0,3.0,2.5,3.2,9.45,0,0.729,360,IIT
8268,304.0,113.0,4.0,3.0,4.1,8.86,1,0.848,277,SRM
8269,308.0,104.0,4.0,2.7,3.8,8.37,0,0.643,293,Symbiosis
8270,325.0,102.0,5.0,4.0,2.9,8.82,1,0.818,332,IIT
8271,300.0,118.0,4.0,2.5,4.3,8.41,1,0.794,315,NIT
8272,328.0,100.0,2.0,3.6,2.4,8.75,0,0.773,329,Manipal
8273,310.0,113.0,5.0,2.7,4.6,8.87,1,0.801,360,IIT
8274,312.0,106.0,3.0,3.9,3.0,8.32,1,0.808,323,BITS Pilani
8275,304.0,100.0,4.0,3.4,2.8,8.7,1,0.773,331,BITS Pilani
8276,321.0,105.0,3.0,3.0,4.4,8.31,1,0.818,312,NIT
8277,340.0,106.0,3.0,4.2,3.1,9.21,0,0.764,316,Manipal
8278,325.0,97.0,3.0,2.1,2.1,8.46,0,0.632,319,SRM
8279,307.0,110.0,2.0,2.9,3.4,8.66,1,0.804,320,BITS Pilani
8280,329.0,109.0,1.0,2.5,4.6,8.72,1,0.875,327,BITS Pilani
8281,313.0,105.0,3.0,1.4,3.6,7.33,1,0.793,318,Manipal
8282,332.0,110.0,5.0,2.6,4.5,8.98,0,0.675,313,Manipal
8283,326.0,108.0,3.0,2.8,3.1,8.67,1,0.761,308,NIT
8284,283.0,115.0,3.0,3.5,3.7,8.7,1,0.792,289,SRM
8285,305.0,101.0,3.0,3.4,4.3,9.11,0,0.65,325,Manipal
8286,327.0,105.0,4.0,4.3,2.5,8.06,0,0.711,339,Manipal
8287,318.0,113.0,2.0,3.9,3.9,8.93,1,0.896,289,Manipal
8288,305.0,110.0,4.0,3.5,3.2,8.42,0,0.682,330,Manipal
8289,309.0,93.0,3.0,4.4,3.6,9.29,0,0.686,303,SRM
8290,295.0,97.0,3.0,2.1,4.3,7.63,0,0.667,305,Symbiosis
8291,315.0,107.0,4.0,4.1,5.0,8.59,1,0.891,308,NIT
8292,340.0,117.0,3.0,3.4,2.7,9.68,1,0.85,360,IIT
8293,326.0,105.0,3.0,4.6,2.1,8.95,0,0.755,314,Manipal
8294,340.0,111.0,2.0,4.1,2.6,8.88,1,0.875,333,IIT
8295,326.0,108.0,4.0,1.5,3.0,9.67,0,0.709,354,IIT
8296,328.0,111.0,3.0,2.1,3.9,8.15,1,0.803,299,Manipal
8297,339.0,114.0,4.0,2.8,2.8,7.91,0,0.683,319,SRM
8298,321.0,113.0,4.0,2.6,3.9,8.8,0,0.711,320,Manipal
8299,314.0,113.0,4.0,2.1,2.9,8.1,0,0.632,296,Symbiosis
8300,328.0,103.0,4.0,2.5,3.3,7.99,1,0.768,312,NIT
8301,333.0,106.0,3.0,1.9,4.5,9.5,1,0.803,360,IIT
8302,311.0,110.0,4.0,3.9,2.5,8.16,1,0.761,294,Manipal
8303,308.0,110.0,4.0,3.7,2.6,8.41,1,0.771,317,NIT
8304,318.0,111.0,5.0,3.0,5.0,8.22,0,0.764,318,SRM
8305,326.0,96.0,3.0,5.0,3.4,8.04,1,0.873,296,SRM
8306,325.0,114.0,4.0,1.9,2.8,8.23,1,0.77,329,BITS Pilani
8307,300.0,97.0,4.0,4.4,3.2,7.98,1,0.804,262,Symbiosis
8308,338.0,103.0,3.0,3.6,3.7,9.01,0,0.707,348,BITS Pilani
8309,309.0,108.0,4.0,1.8,5.0,9.66,1,0.814,303,BITS Pilani
8310,313.0,107.0,3.0,3.9,1.5,7.95,1,0.803,310,Manipal
8311,306.0,116.0,3.0,3.8,4.4,7.93,1,0.837,264,Symbiosis
8312,340.0,100.0,3.0,4.1,2.2,8.48,1,0.798,330,BITS Pilani
8313,319.0,105.0,1.0,3.0,2.3,8.98,0,0.765,345,NIT
8314,307.0,95.0,4.0,2.6,3.8,8.34,0,0.72,285,Symbiosis
8315,326.0,108.0,3.0,2.8,2.6,8.32,0,0.666,305,SRM
8316,325.0,106.0,3.0,4.0,4.0,9.74,1,0.849,343,IIT
8317,314.0,100.0,4.0,2.3,2.2,8.29,0,0.662,318,SRM
8318,326.0,115.0,3.0,3.4,2.9,8.36,1,0.747,265,SRM
8319,307.0,114.0,4.0,4.8,1.7,8.27,1,0.781,360,IIT
8320,311.0,108.0,2.0,3.9,5.0,7.89,1,0.816,314,NIT
8321,294.0,114.0,2.0,3.9,1.6,8.65,0,0.688,320,SRM
8322,302.0,107.0,3.0,4.5,3.4,9.04,0,0.78,304,SRM
8323,337.0,112.0,3.0,3.8,3.1,9.43,1,0.864,295,BITS Pilani
8324,335.0,112.0,3.0,3.4,3.7,9.25,1,0.905,354,IIT
8325,317.0,101.0,3.0,2.8,3.8,9.14,1,0.851,311,NIT
8326,335.0,110.0,5.0,2.8,4.9,9.59,0,0.761,347,BITS Pilani
8327,315.0,108.0,1.0,4.3,1.2,8.99,1,0.831,307,NIT
8328,314.0,101.0,3.0,3.4,3.9,9.36,1,0.883,319,BITS Pilani
8329,317.0,99.0,3.0,2.5,2.1,8.89,1,0.813,310,NIT
8330,315.0,110.0,4.0,3.8,3.0,9.0,1,0.835,343,IIT
8331,314.0,105.0,4.0,5.0,2.2,8.59,1,0.776,289,Manipal
8332,329.0,98.0,3.0,1.8,3.7,8.45,0,0.735,360,BITS Pilani
8333,318.0,111.0,2.0,3.4,2.1,8.45,1,0.805,360,IIT
8334,325.0,113.0,3.0,3.2,3.2,9.04,1,0.794,359,IIT
8335,328.0,100.0,3.0,4.8,4.2,8.69,1,0.843,358,IIT
8336,321.0,107.0,2.0,3.3,3.7,7.8,1,0.823,309,Manipal
8337,306.0,116.0,4.0,3.5,3.4,8.99,1,0.838,339,IIT
8338,301.0,102.0,5.0,3.6,3.4,8.95,0,0.698,303,Symbiosis
8339,318.0,118.0,2.0,4.1,4.0,8.45,0,0.732,281,Symbiosis
8340,315.0,105.0,1.0,4.2,4.6,9.28,0,0.725,356,BITS Pilani
8341,317.0,107.0,2.0,2.7,2.4,8.17,0,0.667,345,NIT
8342,316.0,99.0,1.0,2.1,5.0,7.87,1,0.783,307,Manipal
8343,340.0,99.0,4.0,1.9,3.7,7.93,1,0.783,296,Manipal
8344,301.0,103.0,2.0,3.1,2.6,8.9,1,0.756,295,Manipal
8345,294.0,113.0,1.0,4.7,3.2,7.87,1,0.82,249,Symbiosis
8346,320.0,120.0,2.0,2.2,3.6,8.93,1,0.932,345,IIT
8347,312.0,120.0,2.0,5.0,1.2,8.88,1,0.855,283,Manipal
8348,320.0,106.0,4.0,3.7,3.1,8.14,0,0.713,325,SRM
8349,323.0,105.0,2.0,1.6,4.4,8.21,0,0.692,285,Symbiosis
8350,331.0,101.0,3.0,2.7,3.4,8.32,0,0.689,286,Symbiosis
8351,299.0,114.0,3.0,3.9,5.0,9.33,1,0.897,322,BITS Pilani
8352,310.0,103.0,2.0,4.2,2.2,7.48,1,0.799,289,SRM
8353,321.0,106.0,1.0,1.4,3.0,8.44,0,0.671,338,Manipal
8354,325.0,110.0,3.0,5.0,3.2,8.71,1,0.86,291,Manipal
8355,340.0,110.0,4.0,3.9,4.1,7.51,1,0.91,309,NIT
8356,327.0,103.0,2.0,3.7,4.2,8.54,0,0.763,258,Symbiosis
8357,316.0,107.0,5.0,5.0,3.2,9.38,0,0.76,264,Symbiosis
8358,306.0,104.0,3.0,2.8,5.0,8.81,0,0.723,357,BITS Pilani
8359,310.0,102.0,2.0,2.9,3.1,7.91,1,0.753,358,IIT
8360,310.0,101.0,2.0,5.0,1.1,8.45,1,0.762,314,NIT
8361,324.0,98.0,1.0,2.8,4.2,8.38,0,0.691,299,Symbiosis
8362,319.0,109.0,4.0,3.4,3.0,8.48,1,0.839,308,NIT
8363,302.0,106.0,3.0,1.5,4.6,8.05,1,0.806,324,NIT
8364,312.0,100.0,2.0,5.0,1.7,8.8,0,0.694,302,Symbiosis
8365,326.0,100.0,5.0,2.6,2.5,9.57,1,0.847,335,IIT
8366,320.0,100.0,2.0,3.7,3.9,9.67,0,0.735,327,NIT
8367,323.0,103.0,4.0,4.3,3.4,7.88,0,0.706,297,Symbiosis
8368,321.0,114.0,3.0,3.1,3.6,9.97,1,0.844,315,IIT
8369,335.0,103.0,4.0,4.4,2.2,7.77,0,0.7,330,Manipal
8370,319.0,111.0,3.0,2.0,2.8,8.77,1,0.809,289,Manipal
8371,312.0,117.0,4.0,3.7,3.1,7.95,1,0.835,320,NIT
8372,306.0,108.0,3.0,3.4,4.0,9.1,0,0.765,300,SRM
8373,319.0,103.0,3.0,5.0,5.0,8.16,0,0.752,316,SRM
8374,289.0,107.0,3.0,3.8,5.0,9.23,0,0.682,336,Manipal
8375,314.0,107.0,2.0,2.7,5.0,7.83,1,0.83,304,Manipal
8376,314.0,118.0,2.0,4.4,3.6,8.76,0,0.756,344,NIT
8377,301.0,97.0,3.0,3.4,4.0,9.94,1,0.886,279,Manipal
8378,306.0,114.0,3.0,3.9,4.4,8.21,0,0.764,297,Symbiosis
8379,326.0,97.0,4.0,3.5,5.0,7.86,1,0.856,316,NIT
8380,319.0,112.0,4.0,3.0,3.1,8.28,1,0.789,360,IIT
8381,318.0,105.0,5.0,3.7,3.4,8.83,1,0.771,261,Symbiosis
8382,320.0,118.0,2.0,3.1,4.0,10.0,0,0.772,330,BITS Pilani
8383,318.0,111.0,5.0,5.0,4.6,8.95,0,0.797,357,BITS Pilani
8384,331.0,111.0,2.0,1.5,3.2,8.34,0,0.69,297,Symbiosis
8385,318.0,101.0,3.0,3.6,2.4,8.04,0,0.65,304,Symbiosis
8386,300.0,118.0,2.0,2.3,3.2,9.1,1,0.846,318,BITS Pilani
8387,335.0,120.0,2.0,3.1,4.3,7.86,1,0.883,327,BITS Pilani
8388,321.0,119.0,1.0,2.6,3.0,8.08,1,0.766,357,IIT
8389,310.0,101.0,3.0,3.3,3.2,8.93,0,0.68,332,Manipal
8390,302.0,106.0,2.0,2.3,4.4,8.9,1,0.794,341,IIT
8391,321.0,100.0,2.0,3.3,3.7,8.37,1,0.846,303,Manipal
8392,315.0,103.0,2.0,3.1,3.6,8.84,0,0.685,301,SRM
8393,334.0,109.0,2.0,3.2,2.0,8.05,0,0.689,322,SRM
8394,313.0,112.0,4.0,4.3,4.1,8.79,0,0.806,291,Symbiosis
8395,307.0,110.0,4.0,3.0,3.1,7.8,1,0.759,315,NIT
8396,327.0,97.0,2.0,3.8,3.1,8.49,1,0.761,320,NIT
8397,327.0,107.0,3.0,5.0,3.1,7.76,0,0.723,297,Symbiosis
8398,318.0,110.0,3.0,2.2,4.0,8.44,0,0.75,334,Manipal
8399,324.0,113.0,3.0,3.9,2.5,8.46,0,0.698,286,Symbiosis
8400,316.0,110.0,5.0,2.4,4.7,7.9,1,0.814,319,NIT
8401,319.0,110.0,3.0,3.8,3.6,9.46,1,0.847,308,BITS Pilani
8402,330.0,106.0,2.0,2.3,3.3,8.67,0,0.736,352,BITS Pilani
8403,324.0,109.0,2.0,3.7,4.5,9.03,1,0.893,314,BITS Pilani
8404,315.0,120.0,3.0,5.0,3.3,8.57,1,0.852,326,BITS Pilani
8405,332.0,115.0,4.0,3.7,5.0,9.99,1,0.95,343,IIT
8406,290.0,109.0,3.0,3.1,3.3,8.5,0,0.692,317,SRM
8407,340.0,112.0,3.0,3.7,3.9,8.85,1,0.857,338,IIT
8408,297.0,108.0,5.0,1.6,2.9,9.1,0,0.656,264,Symbiosis
8409,309.0,108.0,5.0,4.0,3.9,7.32,0,0.693,329,SRM
8410,316.0,113.0,5.0,2.9,4.3,8.73,1,0.879,311,BITS Pilani
8411,315.0,104.0,4.0,4.4,3.7,8.27,0,0.764,330,Manipal
8412,328.0,106.0,4.0,3.5,4.9,8.17,1,0.83,334,BITS Pilani
8413,305.0,99.0,3.0,1.9,3.7,10.0,1,0.815,303,NIT
8414,319.0,112.0,3.0,3.1,3.6,8.55,1,0.795,292,Manipal
8415,310.0,114.0,4.0,1.8,5.0,8.16,1,0.829,325,BITS Pilani
8416,320.0,111.0,4.0,4.1,3.6,9.16,1,0.834,318,BITS Pilani
8417,316.0,106.0,4.0,2.6,3.7,9.32,1,0.774,343,IIT
8418,318.0,107.0,4.0,4.1,5.0,8.74,1,0.861,307,NIT
8419,310.0,108.0,1.0,2.1,4.3,7.73,1,0.807,328,NIT
8420,311.0,114.0,4.0,3.7,3.2,8.79,0,0.812,321,Manipal
8421,320.0,113.0,2.0,3.6,2.9,9.03,0,0.764,326,NIT
8422,327.0,98.0,3.0,4.3,4.7,8.45,0,0.776,302,Symbiosis
8423,310.0,102.0,3.0,2.5,4.2,8.1,0,0.658,306,Symbiosis
8424,307.0,110.0,3.0,3.9,1.0,8.56,0,0.661,341,NIT
8425,323.0,99.0,2.0,2.7,3.3,9.19,1,0.834,320,BITS Pilani
8426,316.0,113.0,4.0,4.3,3.5,9.27,0,0.753,339,NIT
8427,326.0,106.0,4.0,4.7,2.3,9.27,1,0.845,326,IIT
8428,306.0,111.0,5.0,2.8,3.3,9.16,1,0.787,318,BITS Pilani
8429,296.0,107.0,3.0,2.7,3.2,8.38,0,0.733,341,Manipal
8430,310.0,107.0,3.0,2.0,3.4,8.78,0,0.769,345,NIT
8431,308.0,101.0,5.0,1.3,3.7,8.53,1,0.747,310,NIT
8432,316.0,104.0,3.0,4.2,3.3,9.35,0,0.771,328,NIT
8433,309.0,106.0,1.0,4.5,5.0,8.59,0,0.768,297,Symbiosis
8434,325.0,106.0,4.0,3.2,3.2,9.14,0,0.714,323,Manipal
8435,313.0,112.0,4.0,2.5,3.2,8.4,0,0.698,316,SRM
8436,318.0,103.0,4.0,2.9,3.5,8.89,0,0.686,333,Manipal
8437,318.0,107.0,4.0,3.5,2.8,9.5,0,0.673,343,BITS Pilani
8438,319.0,116.0,2.0,4.2,4.0,9.17,1,0.913,296,NIT
8439,316.0,112.0,4.0,2.3,3.6,8.07,0,0.67,335,Manipal
8440,322.0,108.0,4.0,3.4,3.1,8.2,0,0.727,310,SRM
8441,307.0,98.0,4.0,3.4,3.6,7.93,1,0.755,279,Symbiosis
8442,332.0,99.0,3.0,2.6,5.0,9.23,1,0.848,360,IIT
8443,314.0,111.0,4.0,4.2,4.2,7.72,0,0.721,348,NIT
8444,302.0,112.0,4.0,4.3,2.2,9.03,1,0.8,315,BITS Pilani
8445,319.0,95.0,4.0,3.2,3.8,8.81,1,0.857,346,IIT
8446,307.0,111.0,3.0,3.4,3.3,8.15,1,0.794,330,BITS Pilani
8447,324.0,104.0,4.0,2.4,3.5,8.57,1,0.835,356,IIT
8448,340.0,105.0,3.0,3.9,4.4,8.78,0,0.753,352,BITS Pilani
8449,308.0,113.0,3.0,5.0,3.2,8.48,0,0.661,281,Symbiosis
8450,320.0,112.0,3.0,4.4,3.6,9.58,0,0.783,360,IIT
8451,297.0,107.0,4.0,3.1,3.5,8.23,1,0.825,322,NIT
8452,322.0,111.0,3.0,1.8,3.7,8.29,1,0.818,298,Manipal
8453,306.0,105.0,2.0,3.7,2.5,8.28,1,0.761,278,SRM
8454,309.0,102.0,4.0,3.3,1.1,8.29,1,0.741,316,NIT
8455,304.0,115.0,4.0,3.0,2.6,8.54,1,0.802,298,Manipal
8456,325.0,115.0,4.0,3.9,4.4,8.48,1,0.88,328,BITS Pilani
8457,328.0,103.0,3.0,3.4,2.1,8.3,1,0.783,334,BITS Pilani
8458,317.0,104.0,2.0,2.6,3.7,8.4,1,0.8,305,Manipal
8459,307.0,113.0,3.0,3.9,5.0,9.06,1,0.867,290,Manipal
8460,334.0,103.0,2.0,3.1,3.6,8.71,1,0.811,336,IIT
8461,308.0,112.0,4.0,2.6,2.9,8.12,0,0.671,298,Symbiosis
8462,292.0,101.0,4.0,2.5,3.4,8.97,1,0.797,307,NIT
8463,322.0,105.0,4.0,2.7,4.9,8.0,0,0.73,284,Symbiosis
8464,304.0,113.0,3.0,3.1,4.1,8.54,1,0.796,294,Manipal
8465,328.0,101.0,4.0,1.7,4.1,8.07,1,0.809,335,BITS Pilani
8466,312.0,104.0,3.0,3.6,3.4,9.18,1,0.805,335,IIT
8467,323.0,109.0,2.0,5.0,3.1,8.16,0,0.739,295,Symbiosis
8468,332.0,96.0,2.0,1.9,5.0,9.1,1,0.819,300,NIT
8469,303.0,108.0,4.0,1.7,3.6,8.77,1,0.769,307,NIT
8470,310.0,114.0,3.0,4.1,2.9,9.1,0,0.741,331,NIT
8471,316.0,112.0,1.0,3.8,3.5,9.03,0,0.775,329,NIT
8472,334.0,107.0,3.0,2.5,2.3,9.01,0,0.708,324,Manipal
8473,309.0,107.0,3.0,1.6,5.0,8.17,1,0.807,310,NIT
8474,310.0,116.0,3.0,5.0,4.1,8.49,0,0.805,348,NIT
8475,322.0,116.0,4.0,3.9,1.9,8.82,0,0.716,329,NIT
8476,310.0,107.0,5.0,2.9,1.8,8.36,0,0.645,263,Symbiosis
8477,318.0,103.0,2.0,2.8,3.0,8.39,0,0.739,318,SRM
8478,299.0,112.0,5.0,2.8,3.5,8.67,1,0.847,356,IIT
8479,340.0,114.0,3.0,3.9,2.6,7.92,1,0.858,299,NIT
8480,301.0,116.0,4.0,2.0,4.1,8.65,0,0.68,306,SRM
8481,313.0,111.0,4.0,3.1,2.8,7.55,1,0.793,301,Manipal
8482,316.0,105.0,3.0,4.3,3.6,8.73,1,0.823,322,BITS Pilani
8483,338.0,97.0,4.0,2.8,3.5,7.84,0,0.687,317,SRM
8484,302.0,119.0,1.0,3.6,5.0,8.2,1,0.862,330,BITS Pilani
8485,339.0,117.0,3.0,3.6,3.7,8.37,1,0.897,329,IIT
8486,325.0,103.0,3.0,5.0,3.6,8.43,1,0.92,357,IIT
8487,321.0,108.0,2.0,3.2,3.3,9.91,0,0.705,330,NIT
8488,305.0,106.0,3.0,4.9,1.2,7.82,1,0.763,295,SRM
8489,323.0,108.0,2.0,3.8,4.8,7.28,1,0.791,293,SRM
8490,308.0,105.0,4.0,3.6,2.8,8.32,1,0.792,262,Symbiosis
8491,331.0,111.0,4.0,2.9,4.3,8.69,1,0.821,336,IIT
8492,306.0,100.0,5.0,3.8,3.2,8.65,1,0.805,360,IIT
8493,315.0,105.0,4.0,4.5,2.8,7.87,0,0.717,324,SRM
8494,310.0,113.0,2.0,4.5,3.0,8.92,0,0.754,327,Manipal
8495,305.0,95.0,2.0,3.4,4.7,8.16,1,0.836,297,SRM
8496,325.0,109.0,2.0,3.7,4.2,7.86,0,0.716,307,Symbiosis
8497,323.0,104.0,4.0,5.0,3.6,7.98,1,0.909,341,BITS Pilani
8498,330.0,117.0,3.0,3.0,4.3,8.11,1,0.824,360,IIT
8499,296.0,109.0,3.0,3.7,4.9,8.69,1,0.856,340,IIT
8500,328.0,102.0,3.0,4.6,3.3,8.63,0,0.753,343,NIT
8501,340.0,116.0,2.0,4.1,2.6,7.9,1,0.842,326,BITS Pilani
8502,311.0,107.0,3.0,3.7,3.9,9.07,0,0.689,314,SRM
8503,338.0,108.0,4.0,2.9,3.1,8.75,1,0.782,313,BITS Pilani
8504,313.0,113.0,2.0,3.7,4.5,8.31,1,0.891,275,SRM
8505,301.0,104.0,3.0,3.5,2.8,9.47,1,0.832,277,SRM
8506,313.0,116.0,4.0,4.5,2.3,7.07,0,0.686,296,Symbiosis
8507,328.0,111.0,2.0,3.7,3.8,8.58,1,0.838,316,BITS Pilani
8508,307.0,103.0,3.0,3.5,4.5,8.22,1,0.801,270,Symbiosis
8509,310.0,105.0,4.0,4.0,3.1,8.11,1,0.844,305,Manipal
8510,323.0,100.0,4.0,4.0,2.8,9.06,0,0.672,316,SRM
8511,317.0,109.0,3.0,3.9,2.8,8.27,0,0.693,283,Symbiosis
8512,323.0,106.0,2.0,3.5,2.8,8.49,0,0.729,307,SRM
8513,319.0,109.0,3.0,2.2,2.8,8.88,1,0.808,311,BITS Pilani
8514,322.0,97.0,3.0,2.1,3.2,8.03,0,0.6,293,Symbiosis
8515,312.0,104.0,3.0,2.7,2.8,8.34,1,0.756,331,BITS Pilani
8516,319.0,101.0,2.0,5.0,3.5,9.0,1,0.826,273,SRM
8517,306.0,110.0,2.0,2.2,4.1,10.0,0,0.749,276,Symbiosis
8518,331.0,104.0,4.0,4.5,4.4,9.33,0,0.884,331,NIT
8519,309.0,110.0,3.0,3.5,4.5,8.74,1,0.884,322,BITS Pilani
8520,329.0,104.0,3.0,4.7,3.1,8.52,1,0.777,341,IIT
8521,314.0,117.0,2.0,4.2,1.4,8.69,0,0.728,301,SRM
